,bin_id,reserveX,reserveY,bin_price,reserveX_in_Y
63,8375753,0.0,747.200137,7.005509334395312,0.0
64,8375754,0.0,734.506927,7.019520353064103,0.0
65,8375755,0.0,731.568879,7.033559393770231,0.0
66,8375756,0.0,728.630832,7.0476265125577715,0.0
67,8375757,0.0,725.937622,7.061721765582887,0.0
68,8375758,0.0,722.999574,7.0758452091140525,0.0
69,8375759,0.0,720.306364,7.089996899532281,0.0
70,8375760,0.0,717.368316,7.104176893331346,0.0
71,8375761,0.0,714.675106,7.118385247118008,0.0
72,8375762,0.0,711.737058,7.132622017612245,0.0
73,8375763,0.0,1059.043848,7.146887261647469,0.0
74,8375764,0.0,1806.1058,7.161181036170763,0.0
75,8375765,0.0,703.167753,7.175503398243105,0.0
76,8375766,0.0,700.474542,7.189854405039592,0.0
77,8375767,0.0,697.536495,7.204234113849671,0.0
78,8375768,0.0,694.843285,7.218642582077369,0.0
79,8375769,0.0,691.905237,7.233079867241525,0.0
80,8375770,0.0,689.212027,7.247546026976008,0.0
81,8375771,0.0,8118.327584,7.262041119029959,0.0
82,8375772,0.0,683.580769,7.276565201268021,0.0
83,8375773,0.0,680.642721,7.291118331670556,0.0
84,8375774,0.0,826.494674,7.305700568333897,0.0
85,8375775,0.0,675.011463,7.3203119694705645,0.0
86,8375776,0.0,672.073416,7.334952593409506,0.0
87,8375777,0.0,669.380205,7.349622498596325,0.0
88,8375778,0.0,666.442158,7.364321743593518,0.0
89,8375779,0.0,663.748948,7.379050387080705,0.0
90,8375780,0.0,660.8109,7.393808487854865,0.0
91,8375781,0.0,658.11769,7.4085961048305755,0.0
92,8375782,0.0,655.179642,7.423413297040238,0.0
93,8375783,0.0,652.241595,7.438260123634317,0.0
94,8375784,0.0,649.548384,7.453136643881586,0.0
95,8375785,0.0,646.610335,7.468042917169349,0.0
96,8375786,0.0,643.917125,7.482979003003688,0.0
97,8375787,0.0,640.979078,7.497944961009696,0.0
98,8375788,0.0,57138.285867,7.512940850931716,0.0
99,8375789,0.0,635.34782,7.527966732633579,0.0
100,8375790,0.0,632.654609,7.543022666098845,0.0
101,8375791,0.0,629.716562,7.558108711431043,0.0
